"algo", "topology", "time (microseconds)", "n", "Deathprob", "Status"
gossip, line, 1291125, 10, 0, ok
gossip, grid_2d, 639011, 16, 0, ok
gossip, grid_3d, 433744, 27, 0, ok
gossip, line, 571397, 100, 0, ok
gossip, grid_2d, 764856, 100, 0, ok
gossip, grid_3d, 1397071, 125, 0, ok
gossip, line, 2178197, 1000, 0, ok
gossip, grid_2d, 1262598, 1024, 0, ok
gossip, grid_3d, 1946547, 1000, 0, ok
gossip, full, 956, 10, 0, ok
gossip, full, 4679, 100, 0, ok
gossip, full, 9974, 200, 0, ok
gossip, full, 16450, 600, 0, ok
gossip, full, 41909, 1000, 0, ok
gossip, full, 119145, 2000, 0, ok
gossip, full, 380714, 3000, 0, ok
gossip, full, 129243, 1500, 0, ok
gossip, full, 222740, 2500, 0, ok
gossip, line, 939468, 200, 0, ok
gossip, line, 828824, 600, 0, ok
gossip, line, 2447184, 2000, 0, ok
gossip, line, 3009437, 3000, 0, ok
gossip, line, 2447282, 1500, 0, ok
gossip, line, 2508086, 2500, 0, ok
gossip, grid_2d, 1165722, 225, 0, ok
gossip, grid_2d, 1532038, 625, 0, ok
gossip, grid_2d, 2011492, 2025, 0, ok
gossip, grid_2d, 1550819, 3025, 0, ok
gossip, grid_2d, 1164348, 1521, 0, ok
gossip, grid_2d, 1263281, 2500, 0, ok
gossip, grid_3d, 1327607, 216, 0, ok
gossip, grid_3d, 1716442, 729, 0, ok
gossip, grid_3d, 1463077, 2197, 0, ok
gossip, grid_3d, 1729695, 3375, 0, ok
gossip, grid_3d, 1605595, 1728, 0, ok
gossip, grid_3d, 1722835, 2744, 0, ok
'push-sum', full, 2121, 10, 0, ok
'push-sum', full, 37029, 100, 0, ok
'push-sum', full, 97147, 200, 0, ok
'push-sum', full, 247047, 600, 0, ok
'push-sum', full, 545871, 1000, 0, ok
'push-sum', full, 615735, 1500, 0, ok
'push-sum', full, 614512, 2000, 0, ok
'push-sum', full, 698872, 2500, 0, ok
'push-sum', full, 829170, 3000, 0, ok
'push-sum', line, 8794, 10, 0, ok
'push-sum', line, 1929401, 100, 0, ok
'push-sum', line, 6106625, 200, 0, ok
'push-sum', line, 2270870, 600, 0, ok
'push-sum', line, 1825568, 1000, 0, ok
'push-sum', line, 5015654, 1500, 0, ok
'push-sum', line, 4962365, 2000, 0, ok
'push-sum', line, 7002931, 2500, 0, ok
'push-sum', line, 11986031, 3000, 0, ok
'push-sum', grid_2d, 5952, 16, 0, ok
'push-sum', grid_2d, 113669, 100, 0, ok
'push-sum', grid_2d, 377196, 225, 0, ok
'push-sum', grid_2d, 2086109, 625, 0, ok
'push-sum', grid_2d, 6866633, 1024, 0, ok
'push-sum', grid_2d, 15513177, 1521, 0, ok
'push-sum', grid_2d, 24990663, 2025, 0, ok
'push-sum', grid_2d, 36115413, 2500, 0, ok
'push-sum', grid_2d, 45368086, 3025, 0, ok
'push-sum', grid_3d, 6429, 27, 0, ok
'push-sum', grid_3d, 85366, 125, 0, ok
'push-sum', grid_3d, 79410, 216, 0, ok
'push-sum', grid_3d, 563525, 729, 0, ok
'push-sum', grid_3d, 707085, 1000, 0, ok
'push-sum', grid_3d, 840926, 1728, 0, ok
'push-sum', grid_3d, 901887, 2197, 0, ok
'push-sum', grid_3d, 764131, 2744, 0, ok
'push-sum', grid_3d, 1229423, 3375, 0, ok
